id;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1
44;Kde nájdem katedru makro a mikroekonomiky?;Kde je katedra makro a mikroekonomiky?;Kde sa nachádza katedra makro a mikroekonomiky?;Kde je KMME?;Kde nájdem KMME?;Vedúceho doc. Ing. Mária Ďurišová, PhD. nájdeš v miestnosti RB204, v danej blízkosti je celá katedra.
45;Kde nájdem katedru matematických metód a operačnej analýze?;Kde je katedra matematických metód a operačnej analýze?;Kde sa nachádza katedra matematických metód a operačnej analýze?;Kde je frdsa?;Kde nájdem FRDSA?;Vedúceho prof. Ing. Ľudmila Jánošíková, PhD. nájdeš v miestnosti RA226, v danej blízkosti je celá katedra.
46;Kde nájdem katedru manažerských teórií?;Kde je katedra manažerských teórií?;Kde sa nachádza katedra manažerských teórií?;Kde je KMNT?;Kde nájdem KMNT?;Vedúceho prof. Ing. Milan Kubina, PhD. nájdeš v miestnosti RB252, v danej blízkosti je celá katedra.
47;Kde nájdem katedru softvérových technológií;Kde je katedra softvérových technológií;Kde sa nachádza katedra softvérových technológií;Kde je KST?;Kde nájdem KST?;Vedúceho Ing. Viliam Tavač, PhD. nájdeš v miestnosti RB120, v danej blízkosti je celá katedra.
48;Kde nájdem katedru technickej kybernetiky?;Kde je katedra technickej kybernetiky?;Kde sa nachádza katedra technickej kybernetiky?;Kde je FRTK?;Kde nájdem FRTK?;Vedúceho prof. Ing. Peter Ševčík, PhD. nájdeš v miestnosti RB111, v danej blízkosti je celá katedra.
49;Aký je minimálny počet kreditov na opakovanie prvého ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v prvom ročníku na bakalarskom štúdiu?;Koľko kreditov potrebujem pre opakovanie prvého ročníka na prvom stupni?;Aký počet kreditov musím mať aby som mohol opakovať prvý ročník na bakalárskon stupni?;Minimálny počet kreditov pre opakovanie 1. ročníka na 1. stupni?;Minimálny počet kreditov na opakovanie prvého ročníka je 20
50;Aký je minimálny počet kreditov na opakovanie druhého ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v druhom ročníku  na bakalarskom štúdiu?;Koľko kreditov potrebujem pre opakovanie druhého ročníka na prvom stupni?;Aký počet kreditov musím mať aby som mohol opakovať druhý ročník na bakalárskon stupni?;Minimálny počet kreditov pre opakovanie 2. ročníka na 1. stupni?;Minimálny počet kreditov na opakovanie druhého ročníka je 60
51;Aký je minimálny počet kreditov na opakovanie tretieho ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v treťom ročníku  na bakalarskom štúdiu?;Koľko kreditov potrebujem pre opakovanie tretieho ročníka na prvom stupni?;Aký počet kreditov musím mať aby som mohol opakovať tretí ročník na bakalárskon stupni?;Minimálny počet kreditov pre opakovanie 3. ročníka na 1. stupni?;Minimálny počet kreditov na opakovanie druhého ročníka je 100
52;Koľko kreditov potrebujem pri študijnom programe Informatika z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informatika?;;;;15 kreditov
53;Koľko kreditov potrebujem pri študijnom programe Manažment z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe manažment?;;;;20 kreditov
54;Koľko kreditov potrebujem pri študijnom programe Počítačové inžinierstvo z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe počítačové inžinierstvo?;;;;15 kreditov
55;Aký je odporúčaný počet kreditov na opakovanie prvého ročníka bakalárskeho štúdia?;;;;;Minimálny počet kreditov na opakovanie prvého ročníka je 20
56;Aký je odporúčaný počet kreditov na opakovanie druhého ročníka bakalárskeho štúdia?;;;;;Minimálny počet kreditov na opakovanie druhého ročníka je 60
57;Aký je minimálny počet kreditov na uzavretie bakalárskeho štúdia?;;;;;180 kreditov
58;Koľko kreditov potrebujem pre opätovné zapísanie do toho istého ročníka?;Minimálny počet kreditov na opakovanie ročníka?;Aspoň koľko predmetov musím mať na opakovanie ročníka?;Koľko kreditom musím mať aby som mohol opakovať ročník?;Koľko kreditov potrebujem pre opätovné zapísanie do toho istého ročníka?;Záleží od aktuálneho ročníka
59;Koľko kreditov potrebujem pre zapísanie do vyššieho ročníka?;Minimálny počet kreditov na postup do ďalšieho ročníka?;Aspoň koľko predmetov musím mať na zpísanie sa do vyššieho ročníka?;Koľko kreditom musím mať aby som mohol postúpiť do ďalšieho ročníka?;Koľko kreditov potrebujem pre zapísanie do vyššieho ročníka?;Záleží od aktuálneho ročníka
60;Koľko kreditov potrebujem pre uzatvorenie štúdia?;Minimálny počet kreditov na uzavretie ročníka?;Aspoň koľko predmetov musím mať na uzavretie ročníka?;Koľko kreditom musím mať aby som mohol uzavrieť ročník?;Koľko kreditov potrebujem pre uzatvorenie štúdia?;Záleží od aktuálneho ročníka
61;Koľko kreditov potrebujem z povinne voliteľných predmetov?;;;;;Nepotrebujete žiadne kredity z povinných predmetov ale pre úspešne ukončenie štúdia potrebujete ich absolvovať všetky ktoré máte napisané ako povinné.
62;Sú nutné kredity aj z volitelných predmetov?;Potrebujem kredity z voliteľných predmetov?;Je nutné mať voliteľné predmety?;Musím si zapísať voliteľné predmety?;Sú nutné kredity aj z volitelných predmetov?;Nie sú povinné, ale odporúčame si zapisovať aj voliteľné predmety pre dostatok kreditov
63;Koľko kreditov potrebujem na zápis do vyššieho ročníka v prvom ročníku na bakalarskom štúdiu?;Aký je minimálny počet kreditov na zápis do vyššieho ročníka v prvom ročníku bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do výššieho ročníka na prvom stupni v prvom ročníku?;Aký počet kreditov musím mať aby som mohol ísť do ďalšieho ročníka v prvom ročníku na bakalárskon stupni?;Minimálny počet kreditov pre postup do vyššieho ročníka v 1. ročníku na 1. stupni?;40 kreditov
64;Koľko kreditov potrebujem na zápis do vyššieho ročníka v druhom ročníku  na bakalarskom štúdiu?;Aký je minimálny počet kreditov na zápis do vyššieho ročníka v druhom ročníku bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do výššieho ročníka na prvom stupni v druhom ročníku?;Aký počet kreditov musím mať aby som mohol ísť do ďalšieho ročníka v druhom ročníku na bakalárskon stupni?;Minimálny počet kreditov pre postup do vyššieho ročníka v 2. ročníku na 1. stupni?;80 kreditov
65;Koľko kreditov potrebujem na zápis do vyššieho ročníka v prvom ročníku na inžinierskom štúdiu?;Aký je minimálny počet kreditov na zápis do vyššieho ročníka v prvom ročníku inžinierského štúdia?;;;;40 kreditov
66;Koľko kreditov potrebujem na zápis do rovnakého ročníka v prvom ročníku na inžinierskom štúdiu?;Aký je minimálny počet kreditov na zápis do rovnakého ročníka v prvom ročníku inžinierského štúdia?;Koľko kreditov potrebujem na opakovanie prvého ročníka na inžinierskom štúdiu?;;;40 kreditov
67;Koľko kreditov potrebujem na zápis do rovnakého ročníka v druhom ročníku na inžinierskom štúdiu?;Aký je minimálny počet kreditov na zápis do rovnakého ročníka v druhom ročníku inžinierského štúdia?;Koľko kreditov potrebujem na opakovanie druhého ročníka na inžinierskom štúdiu?;;;80 kreditov
68;Koľko kreditov potrebujem na ukončenie inžinierského štúdia?;Aký je minimály počet kreditov na ukončenie inžinierského štúdia?;Koľko kreditov potrebujem pre ukončenie ing. štúdia?;Aký počet kreditov musím mať aby som mohol ukončiť druhý stupeň?;Minimálny počet kreditov pre ukončenie 2. stupňa?;120 kreditov.
69;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informačné systémy?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe informačné systémy?;;;;15 kreditov.
70;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informačný manažment?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe informačný manažment?;;;;15 kreditov.
71;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe inteligentné informačné systémy?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe inteligentné informačné systémy?;;;;15 kreditov.
72;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe aplikované sieťové inžinierstvo?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe aplikované sieťové inžinierstvo?;;;;15 kreditov.
73;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe aplikovaná informatika?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe aplikovaná informatika?;;;;15 kreditov.
74;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe manažment?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe manažment?;;;;15 kreditov.
75;Kde nájdem študíjny referát?;Kde sa nachádza štúdijný referát?;Kde je štúdijné oddelenie?;V ktorej miestnosti je štúdijné oddelenie?;V ktorej miestnosti je štúdijný referát?;RA111.
76;Ako je možné zarezervovať si miestnosť?;Ako si viem rezervovať miestnosť?;Ako rezervovať učebňu?;Akým spôsobom si rezervujem učebňu?;Ako rezervovať učebňu?;Pôjdete na stránku https://www.fri.uniza.sk/schoolrooms/reservations.
77;Kde nájdem rezerváciu miestností?;Kde si rezervujem učebňu?;Kde si môžem rezervovať miestnosť?;Kde sa rezervuje trieda?;Kde si viem obsadiť učebňu?;Na stránke https://www.fri.uniza.sk/schoolrooms/reservations.
78;Chcem ísť za pánom prodekanom. V ktorej miestnosti by som ho vedel nájsť? ;Kde nájdem pána prodekana?;V akej miestnosti je prodekan?;Kancelária prodekana?;V ktorej kancelárii je prodekan?;RA102.
79;V aký rok vznikla FRI?;Kedy vznikla FRI?;Od kedy je fri?;Dátum vzniku fakulty?;Od kedy je FRI;11.7.1990
80;V aký rok vznikla UNIZA?;Kedy vznikla UNIZA?;Od kedy je uniza?;Dátum vzniku univerzity?;Od kedy je UNIZA?;10.1.1953
81;Aká je webová stránka UNIZA?;Aký web má UNIZA?;Link na stránku univerzita?;Akú ma univerzita stránku?;Web na unizu?;https://www.uniza.sk
82;Aká je webová stránka FRI?;Aký web má FRI?;Link na stránku fakulty?;Akú ma fakulta stránku?;Web na fakultu?;https://www.fri.uniza.sk
83;Aké je telefonné číslo na vrátnicu?;Na aké číslo mám volať na vrátnicu?;;;;Pravdepodobne na číslo +421-41-513 4061.
84;Nachádza sa na FRI bezbariérový prístup?;Je na FRI bezbarierový prístup?;;;;Áno.
85;Má FRI aj vysunuté pracovisko alebo iba v Žiline?;Má FRI detašované pracovisko?;;;;Áno.
86;Aká je presná adresa FRI?;Kde sa nachádza FRI?;Kde nájdem FRI?;Kde je fakulta?;Adresa fakulty?;Univerzitná 8215/1, 010 26 Žilina
87;Čo znamená skratka FRI?;Čo znamená FRI?;Z čoho vzniklo FRI?;Prečo skratka FRI?;;Fakulta riadenia a informatiky
88;Je parkovné na FRI prepojené s parkovným na internátoch? ;;;;;Nie.
89;Rampa na FRI parkovisku ma nechce pustiť, koho mám kontaktovať?;;;;;Vrátnika.
90;Koľko stojí parkovné?;Aký je poplatok za parkovné?;Koľko stojí parkovanie?;Aký je poplatok za parkovanie?;;Podľa toho kde.
91;Aká je výška školného pri prekročení dĺžky štúdia na 1 stupni denneho štúdia?;Aký je poplatok za školné pri prekročení dĺžky štúdia na 1 stupni denneho štúdia?;;;;550 euro.
92;Aká je výška školného pri prekročení dĺžky štúdia na 2 stupni denneho štúdia?;Aký je poplatok za školné pri prekročení dĺžky štúdia na 2 stupni denneho štúdia?;;;;550 euro.
93;Aká je výška školného pri prekročení dĺžky štúdia na 3 stupni denneho štúdia?;Aký je poplatok za školné prekročení dĺžky štúdia na 3 stupni denneho štúdia?;;;;550 euro.
94;Aká je výška školného pri prekročení dĺžky štúdia na 1 stupni externého štúdia?;Aký je poplatok za školné pri prekročení dĺžky štúdia na 1 stupni externého štúdia?;;;;550 euro.
95;Aká je výška školného pri prekročení dĺžky štúdia na 2 stupni externého štúdia?;Aký je poplatok za školné pri prekročení dĺžky štúdia na 2 stupni externého štúdia?;;;;550 euro.
96;Aká je výška školného pri prekročení dĺžky štúdia na 3 stupni externého štúdia?;Aký je poplatok za školné pri prekročení dĺžky štúdia na 3 stupni externého štúdia?;;;;550 euro.
97;Môžem dostať úľavu od školného?;Je  možné dostať úlavu od školného?;;;;Áno.
98;Aká je výška poplatku za prihlášku?;Je za prihlášku na štúdium poplatok?;Koľko stojí nová prihláška?;Aká je cena prihlášky?;;20 €
99;Na aký účet je potrebné odoslať poplatok za prihlášku?;Na aký účet sa posielajú peniaze za prihlášku?;Kde zaplatiť prihlášku?;Kam sa platí účet za prihlášku?;;SK96 8180 0000 0070 0026 9909
100;Koľko stojí predĺženie štandartného štúdia?;Koľko sa platí za medziročník?;;;;Platí sa iba ak prekročíš povolenú dĺžku štúdia, bc 3 roky ing 2 roky.
101;Som opakujúci študent, chcel by som sa informovať o výške školného?;Aká je výška škelného?;Aký je polaltok za školné?;;;Záleži od toho aké štúdium máš.
102;Kedy sa zase bude zvyšovať školné?;Kedy sa budú zvyšovať poplatky?;;;;Raz za čas.
103;Aký je poplatok za prijímačky?;Koľko stoja prijímačky?;;;;Tie sú zadarmo, je ale nutné si podať pred nimi prihlášku na štúdium.
104;Platia sa nejaké poplatky?;Platí sa niečo?;Čo treba platiť?;;;Príjmačky, školné, internáty...treba upresniť otázku.
105;Koľko stojí externé štúdium?;Aký je poplatok za externé štúdium?;;;;550 euro.
106;Koľko stojí internát?;Aký je poplatok za internát?;;;;41-61€ mesačne
107;Je možné absolvovať predmet prax na fakulte?;Môžem absolvovať prax aj na fakulte?;Poskytuje FRI fakultnú prax?;Dá sa na fri robiť prax?;Môžem si odrobiť prax na fakulte?;Áno, je tu možnosť využitia fakultnej praxe.
108;Koľko je minimálny počet hodín praxe?;Koľko hodín praxe musím absolvovať?;Koľko hodín praxe musím odpracovať?;Minimálny počet hodín praxe?;;150 hodín
109;Je možné použiť prax ako bakalársku prácu?;Môžem použiť prax ako bakalárku?;;;;Treba kontaktovať vedúceho vašej práce.
110;Je možné použiť prax ako diplomovú prácu?;Môžem použiť prax ako diplomovku?;;;;Treba kontaktovať vedúceho vašej práce.
111;Je možné použiť prax ako dizertačnú prácu?;Môžem použiť prax ako dizertačku?;;;;Treba kontaktovať vedúceho vašej práce.
112;Je možné uznať prax aj z iného odvedvia ako študujem?;Musí byť prax v rámci odboru?;;;;Nie.
113;Na praxi som odpracoval menej ako 150 hodín, dá sa uznať aj takáto prax ? Prípadne na horšiu známku? ;Mám prax ale menej ako 150 hodín, je ju možné uznať?;Je možné uznať prax v neúplnom rozsahu?;Je možné uznať prax aj v prípade že nemám odpracovaných 150 hodín?;Od koľko hodín je možné uznať prax?;Nie.
114;Je možné absolvovať predmet odborná prax v študentskej organizácií?;Je možné absolvovať predmet odborná prax aj v študentskej organizácií?;Môže byť prax uznaná aj keď ide napríklad o študentkú organizáciu;Pracoval som v študenteskej organizácií, dá sa toto zarátať ako prax?;Môžem si nechať uznať odbornú prax aj v prípade, že som pracoval v študentskej organizácií?;Áno.
115;Ak je možné absolvovať predmet odborná prax v študentskej organizácií, za akých podmienok je to možné?;Za akých podmienok je možné absolvovať odbornú prax v študentskej organizácií?;Som v študentskej organizácií, za akých podmienok si to môžem uznať ako odbornú prax?;Aké sú podmienky na uznanie praxe ak pracujem v študentskej organizácií?;Podmienky pre uznanie odbornej praxe v študentskej organizácií;Musíš si podať žiadosť, byť prijatý a splniť podmienky.
116;Kde odporúčate vykonávať prax?;Kde je odporúčané vykonať odbornú prax?;Aké sú odporúčania na miesto vykonávania odbornej praxe?;Sú odporúčané miesta kde robiť odbornú prax?;Aké sú odporúčania na firmu kde budem vykonávať odbornú prax?;Kde máte záujem.
117;Čo sú to povinné predmety?;Čo to znamená povinný predmet?;Aký to je povinný predmet?;Aká je definícia povinného predmetu?;Čo znamená pojem povinný predmet?;Povinný predmet musí študent absolvovať.
118;Čo sú to povinne voliteľné predmety?;Čo to znamená povinne voliteľný predmet?;Aký to je povinne voliteľný predmet?;Aká je definícia povinne voliteľného predmetu?;Čo znamená pojem povinne voliteľný predmet?;Z povinne voliteľných predmetov si študent musí vybrať toľko aby z nich mal aspoň daný počet kretidov pre jeho odbor.
119;Čo sú to voliteľné predmety?;Čo to znamená voliteľný predmet?;Aký to je voliteľný predmet?;Aká je definícia voliteľného predmetu?;Čo znamená pojem voliteľný predmet?;Študent nemusí absolvovať žiadny voliteľný predmet. Tieto predmety sú dobroveľné.
120;Aká je maximálna dĺžka platnosti známky z predmetu?;Ako dlho platí známka z predmetu?;Koľko rokov platí známka z predmetu?;Majú známky z predmetov maximálnu platnosť?;Má známka z predmetu maximálnu dĺžku platnosti?;3 roky
121;Je možné uznať predmety po prechode z inej fakulty?;Môžem si nechať uznať predmety, ktoré som absolvoval na inej fakulte?;Budú mi uznané predmety absolvované na inej fakulte?;Sú uznávané predmety, ktoré som absolvoval na inej fakulte?;Je možné uznanie predmetov, ktoré som absolvoval na inej fakulte?;Študent môže požiadať o uznanie predmetov a kreditov
122;Je možné uznať predmety po prechode z inej Vysokej Školy?;Môžem si nechať uznať predmety, ktoré som absolvoval na inej vysokej škole?;Budú mi uznané predmety absolvované na inej vysokej škole?;Sú uznávané predmety, ktoré som absolvoval na inej fakulte?;Je možné uznanie predmetov, ktoré som absolvoval na inej vysokej škole?;Študent môže požiadať o uznanie predmetov a kreditov
